event,gen,elapsedSec,bestCost,delta,popBestCost,poolSize,instance,edgeType,nCities,populationN,maxIter,survivorsFrac,crossoverFrac,mutationFrac,pc,pm,elitismFrac,tournamentK,useSCX,twoOptProb,stallGenerations,timeLimitSec,seed,lpEdgeVars,lpDegreeCons
meta,0,0.000000,701,,701,,eil101,EUC_2D,101,600,200000,0.150000,0.650000,0.200000,1.000000,0.009901,0.020000,3,1,0.250000,3000,1200.000000,11,5050,101
improve,1,4.801540,678,23,678,127,eil101,EUC_2D,101,600,200000,0.150000,0.650000,0.200000,1.000000,0.009901,0.020000,3,1,0.250000,3000,1200.000000,11,5050,101
improve,2,7.365661,675,3,675,127,eil101,EUC_2D,101,600,200000,0.150000,0.650000,0.200000,1.000000,0.009901,0.020000,3,1,0.250000,3000,1200.000000,11,5050,101
improve,4,11.576684,659,16,659,127,eil101,EUC_2D,101,600,200000,0.150000,0.650000,0.200000,1.000000,0.009901,0.020000,3,1,0.250000,3000,1200.000000,11,5050,101
improve,5,13.526963,658,1,658,127,eil101,EUC_2D,101,600,200000,0.150000,0.650000,0.200000,1.000000,0.009901,0.020000,3,1,0.250000,3000,1200.000000,11,5050,101
improve,6,15.477861,656,2,656,127,eil101,EUC_2D,101,600,200000,0.150000,0.650000,0.200000,1.000000,0.009901,0.020000,3,1,0.250000,3000,1200.000000,11,5050,101
improve,7,17.392039,645,11,645,127,eil101,EUC_2D,101,600,200000,0.150000,0.650000,0.200000,1.000000,0.009901,0.020000,3,1,0.250000,3000,1200.000000,11,5050,101
improve,10,21.342422,643,2,643,127,eil101,EUC_2D,101,600,200000,0.150000,0.650000,0.200000,1.000000,0.009901,0.020000,3,1,0.250000,3000,1200.000000,11,5050,101
improve,12,23.832455,638,5,638,127,eil101,EUC_2D,101,600,200000,0.150000,0.650000,0.200000,1.000000,0.009901,0.020000,3,1,0.250000,3000,1200.000000,11,5050,101
improve,14,26.277668,635,3,635,127,eil101,EUC_2D,101,600,200000,0.150000,0.650000,0.200000,1.000000,0.009901,0.020000,3,1,0.250000,3000,1200.000000,11,5050,101
improve,15,27.577960,632,3,632,127,eil101,EUC_2D,101,600,200000,0.150000,0.650000,0.200000,1.000000,0.009901,0.020000,3,1,0.250000,3000,1200.000000,11,5050,101
improve,19,32.264089,631,1,631,127,eil101,EUC_2D,101,600,200000,0.150000,0.650000,0.200000,1.000000,0.009901,0.020000,3,1,0.250000,3000,1200.000000,11,5050,101
improve,28,42.443933,630,1,630,127,eil101,EUC_2D,101,600,200000,0.150000,0.650000,0.200000,1.000000,0.009901,0.020000,3,1,0.250000,3000,1200.000000,11,5050,101
improve,60,72.429468,629,1,629,127,eil101,EUC_2D,101,600,200000,0.150000,0.650000,0.200000,1.000000,0.009901,0.020000,3,1,0.250000,3000,1200.000000,11,5050,101
stop,1283,1200.254510,629,,629,,eil101,EUC_2D,101,600,200000,0.150000,0.650000,0.200000,1.000000,0.009901,0.020000,3,1,0.250000,3000,1200.000000,11,5050,101
end,1283,1200.442124,629,,629,,eil101,EUC_2D,101,600,200000,0.150000,0.650000,0.200000,1.000000,0.009901,0.020000,3,1,0.250000,3000,1200.000000,11,5050,101
