event,gen,elapsedSec,bestCost,delta,popBestCost,poolSize,instance,edgeType,nCities,populationN,maxIter,survivorsFrac,crossoverFrac,mutationFrac,pc,pm,elitismFrac,tournamentK,useSCX,twoOptProb,stallGenerations,timeLimitSec,seed,lpEdgeVars,lpDegreeCons
meta,0,0.000000,156244,,156244,,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,1,8.070144,153975,2269,153975,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,2,12.335324,151183,2792,151183,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,4,19.468746,150579,604,150579,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,6,25.687122,150285,294,150285,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,7,28.582318,147811,2474,147811,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,9,34.220254,146434,1377,146434,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,11,39.780796,144740,1694,144740,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,14,48.249377,144313,427,144313,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,16,54.110640,144264,49,144264,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,19,62.744652,143646,618,143646,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,21,68.521802,142570,1076,142570,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,25,80.024776,142266,304,142266,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,28,88.892874,141152,1114,141152,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,32,100.560161,141026,126,141026,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,37,114.897633,140092,934,140092,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,40,123.826549,139910,182,139910,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,42,129.687597,139487,423,139487,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,47,144.684767,139414,73,139414,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,51,156.725697,139183,231,139183,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,54,165.862346,139119,64,139119,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,59,180.662915,139073,46,139073,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,60,183.922665,138976,97,138976,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,62,189.889287,138957,19,138957,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,67,204.221674,138950,7,138950,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,69,210.267953,138833,117,138833,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,72,219.032963,138724,109,138724,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,74,224.886726,137791,933,137791,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,113,330.845756,137687,104,137687,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,119,346.376605,137661,26,137661,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,123,356.606598,137578,83,137578,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,136,387.735529,137555,23,137555,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,140,397.189118,137540,15,137540,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,147,413.235135,137522,18,137522,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,150,420.171240,137511,11,137511,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,159,440.081191,137483,28,137483,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,162,446.958425,137468,15,137468,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,168,460.362630,137456,12,137456,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,182,504.446399,137426,30,137426,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,203,553.555763,137416,10,137416,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,297,759.709313,137398,18,137398,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,307,784.415542,137368,30,137368,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,438,1077.178891,137153,215,137153,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,443,1088.276713,135941,1212,135941,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,483,1177.204341,135651,290,135651,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,485,1183.097573,135090,561,135090,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,486,1185.866685,134775,315,134775,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,487,1188.549868,134765,10,134765,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,489,1193.937087,134692,73,134692,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,504,1226.391925,134662,30,134662,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
improve,533,1287.290171,134644,18,134644,89,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
stop,10996,28800.953182,134644,,134644,,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
end,10996,28802.269549,134644,,134644,,gr229,GEO,229,700,999999,0.150000,0.550000,0.300000,0.950000,0.004367,0.020000,3,1,0.150000,999999,28800.000000,13,26106,229
